subject,predicate,object
http://example.org/tic-absa/comment/573c6c84ec4a8994200002fa,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573c6ea1ec4a8994200002fc,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573ca41aec4a891e170001de,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573cda8eec4a8916fc00021a,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573cea07ec4a8916fc00021b,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573dc31fec4a891a75000274,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573dd26aec4a8916fc000221,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573dd4a7ec4a891e170001ed,absa:hasAspect,http://example.org/tic-absa/aspect/evaluacion
http://example.org/tic-absa/comment/573e1194ec4a89942000030d,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573e246fec4a89942000030e,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573e24acec4a89942000030f,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573e4b88ec4a891a7500027d,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573e4e04ec4a89942000031c,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573e50ddec4a891e170001f6,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/573e559fec4a891e170001f7,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573e6a75ec4a891e170001f8,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573f14aaec4a89942000032a,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573f1df4ec4a8916fc000230,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573f3b58ec4a89942000032f,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573f5861ec4a891a75000287,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573fdaaaec4a8916fc000239,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573fdb2dec4a8916fc00023a,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573fe657ec4a899420000338,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573feba2ec4a891e1700020a,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/574088b0ec4a891e1700020c,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/57409107ec4a891e1700020d,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5740914fec4a891a75000294,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5740926eec4a8916fc000240,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/574092eaec4a891a75000296,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5740955fec4a89942000033f,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5741dfa8ec4a891a7500029f,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5741dfa8ec4a891a7500029f,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5741dfa8ec4a891a7500029f,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/5742292eec4a891a750002a1,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5742292eec4a891a750002a1,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57425a48ec4a891e17000222,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57425a48ec4a891e17000222,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/57427096ec4a899420000355,absa:hasAspect,http://example.org/tic-absa/aspect/docente
