from,prop,to
http://example.org/tic-absa/comment/5e94714fec4a89aaf3000c9a,skos:broader,http://example.org/tic-absa/thread/5e945a2dec4a89805900084b
http://example.org/tic-absa/comment/5e947254ec4a89e82d000c9d,skos:broader,http://example.org/tic-absa/thread/5e94533eec4a89e82d0007a4
http://example.org/tic-absa/comment/5e947254ec4a89e82d000c9d,skos:related,http://example.org/tic-absa/comment/5e946d4cec4a898059000b9c
http://example.org/tic-absa/comment/5e9472ccec4a89aaf3000cd7,skos:broader,http://example.org/tic-absa/thread/5e946a90ec4a89789c000b25
http://example.org/tic-absa/comment/5e94734aec4a898059000cb7,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e947387ec4a89aaf3000ceb,skos:broader,http://example.org/tic-absa/thread/5e9446cdec4a89aaf300061c
http://example.org/tic-absa/comment/5e9473c3ec4a898059000cc2,skos:broader,http://example.org/tic-absa/thread/5e94533eec4a89e82d0007a4
http://example.org/tic-absa/comment/5e94740bec4a89aaf3000cff,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94744fec4a89aaf3000d06,skos:broader,http://example.org/tic-absa/thread/5e94533eec4a89e82d0007a4
http://example.org/tic-absa/comment/5e9474afec4a89aaf3000d12,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e9474afec4a89e82d000cee,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9474f5ec4a898059000ce9,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9475f1ec4a89789c000d34,skos:broader,http://example.org/tic-absa/thread/5e946a90ec4a89789c000b25
http://example.org/tic-absa/comment/5e94760aec4a89789c000d38,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94786dec4a89e82d000d8c,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9478adec4a89aaf3000db6,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e9478adec4a89e82d000d9a,skos:broader,http://example.org/tic-absa/thread/5e9473e8ec4a89e82d000cd9
http://example.org/tic-absa/comment/5e947999ec4a89789c000dd6,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9479c4ec4a89e82d000dc5,skos:broader,http://example.org/tic-absa/thread/5e946a90ec4a89789c000b25
http://example.org/tic-absa/comment/5e947a03ec4a89e82d000dcf,skos:broader,http://example.org/tic-absa/thread/5e946a90ec4a89789c000b25
http://example.org/tic-absa/comment/5e947a03ec4a89e82d000dcf,skos:related,http://example.org/tic-absa/comment/5e946c62ec4a89789c000b81
http://example.org/tic-absa/comment/5e947bc2ec4a89aaf3000e2e,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e947bebec4a89789c000e2d,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e947cfbec4a89aaf3000e66,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e947cfbec4a89aaf3000e66,skos:related,http://example.org/tic-absa/comment/5e946ddcec4a89e82d000bc8
http://example.org/tic-absa/comment/5e947d23ec4a898059000e2c,skos:broader,http://example.org/tic-absa/thread/5e946a90ec4a89789c000b25
http://example.org/tic-absa/comment/5e947d3cec4a898059000e33,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e947d5dec4a89789c000e63,skos:broader,http://example.org/tic-absa/thread/5e9473e8ec4a89e82d000cd9
http://example.org/tic-absa/comment/5e947d6dec4a89aaf3000e7b,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e947da6ec4a898059000e43,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94804eec4a89e82d000eaa,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9490b1ec4a898059000fd7,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e949248ec4a89aaf3001057,skos:broader,http://example.org/tic-absa/thread/5e9446cdec4a89aaf300061c
http://example.org/tic-absa/comment/5e949354ec4a89aaf300106c,skos:broader,http://example.org/tic-absa/thread/5e948fe9ec4a89e82d000fb4
http://example.org/tic-absa/comment/5e94958aec4a898059001048,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e9496f4ec4a89aaf30010fa,skos:broader,http://example.org/tic-absa/thread/5e94800eec4a89aaf3000ed5
